ID,Movie_ID,User_Name,Rating,Title,Content,,,,,,,,,,,,,,,,,,,
1,1,TheTopDawgCritic,8,Better than expected!,"For a B-grade film, this was surprisingly better than I expected. The acting was great by all cast members, the directing was on point, the writing was actually pretty good - without many plot issues one would normally expect, the cinematography perfect, the pacing was great, especially for the 107 min length, and the editing not too bad except for the flashbacks. My only critique was the terrible score, especially towards the last act. Had the score been more professional and consistent through out, the suspense would have been stellar instead of adequate. Overall an impressive film. A well deserved 8/10 from me.",,,,,,,,,,,,,,,,,,,
2,1,celestinoavilajr,8,Entertaining!,Good movie! Great plot! Edge of your seat twist and turns! Picture and acting qualities are excellent!.... If theirs anyone looking for good reviews and not sure of watching. Pay no mind to the bad reviews. If you like crime thrillers.. this is a good one!,,,,,,,,,,,,,,,,,,,
3,1,dave-mcclain,8,an expectedly good thriller,"Bad Samaritan"" R"," 151 is a thriller directed by actor-turned-producer Dean Devlin ""Geostorm"""," written by Brandon Boyce ""Wicker Park"" and starring television actor and erstwhile Dr. Who David Tennant. Theres a bit of horror in here too", but this film is primarily an intricately plotted thrill ride.The title character is named Sean Falco Irish actor Robert Sheehan, a young man whose step-father brought him and his mother to the U.S. because of a job opportunity for which Sean resents him. Sean is an aspiring photographer with a beautiful and intelligent college girlfriend named Riley Jacqueline Byers who knows nothing of Seans real passion - stealing. Sean and his best friend, Derek Carlito Olivero work as valets at an expensive Italian restaurant... which is where they choose their marks. As one of them mans the valet stand, the other uses the vehicles, GPS devices and garage door openers of their unsuspecting customers to rob the patrons homes," while theyre just trying to have a nice """,,,,,,,,,,,
4,1,neener3707,7,"Done Before, But Not Too Bad, A Little Extra ","Over all not too shabby, definitely better than I expected. So yes its been done many times before, person or in this case; people break in to someones house for some ulterior motive, only to discover the home owner is either hiding something or is some sort of killer. But it throws a little extra into the formula, some works, the emphasis on the killer and his story was refreshing. But is it scary? Is it a horror movie? Because lately so called horror"" movies are indeed not scary at all. And as far as this film is concerned", Im not sure what I want to say, because some of it was effective, and some of it wasnt. First of all, I like how they expanded on the typical story line they were telling, and without giving to much away, it creates this admittedly tense cat and mouse chaotic situation for all parties involved," so I liked how it just didnt stick 100% to the ""Rear Window"" and ""Disturbia"" formulas.But was it scary? Id say it was in places and was not in some"," it was as simple as th""",,,,,,,,,,,
5,1,krice23,8,Sold!,"Original script. Believable cast. They make it work easily & all in all it looks like what a thriller should look like! For once Im not grumbling in disappointment over lack of continuity or missed opportunities.Several layers thick with multidimensional characters that behave unexpectantly individual and unique instead of plotted. A pleasant surprise, indeed.Perhaps I should have rated it a 9!?",,,,,,,,,,,,,,,,,,,
6,1,patrickc-76383,7,Impressive!,"This movie takes you on an rollercoaster-like adventure that is suspenseful while also favorably is unpredictable. That being said, another thing this movie does well with is its realism. Each scene you see feels natural and true to life. In addition, this movie doesnt cut any corners in the storytelling; there arent any holes in the plot that you wonder about later while watching the movie.In conclusion, this is a very well executed thriller and I would honestly recommend this movie!",,,,,,,,,,,,,,,,,,,
7,1,george.schmidt,7,Decent suspense thriller with one box of craz,"BAD SAMARITAN 2018 1/2 David Tennant, Robert Sheehan, Jacqueline Byers, Lisa Brenner, Carlito Olivero, Kerry Condon, Rob Nagle, Hannah Barefoot. Decent suspense thriller with Sheehans petty thief stumbling upon a victim-to-be of a serial killer when he attempts to rob the home and winds up in the crosshairs of an ultimate grudge match/cat-and-mouse with a few good jolts delivered and one box of crazy turn Tennant as the seriously fd up creepazoid. Director Dean Devlin and Brandon Boyces clever script combine for enough popcorn pleasing moments of meta-scream-at-the-screen scenes and even a few canny self-asides to aforementioned sequences.",,,,,,,,,,,,,,,,,,,
8,1,godsgirlfrombluford,9,Edge of your seat romp that keeps the viewer ,"Bad Samaritan is an edge of your seat romp that keeps the viewer guessing what will happen next.Sean Falco Robert Sheehan is a part-time photographer and the burglar who finds a woman being held captive in the home of Cale Erendreich David Tennant. Sean has a moral compass that guides his thievery and does not steal from good people"". Cale is a sociopath", lacking any conscience for the things he does wrong. Katie Kerry Condon is the tortured victim, taken and kept against her will.I felt for Seans plight, trying to save Katie. His desperation on-screen to bring Cale to justice and help Katie was palpable. I wanted to see him those he went to help him make all of this possible. I liked how his character was willing to do whatever it took to do what was necessary.Katie was a completely believable character. From the moment I met her, I wanted to jump through the screen and help her. She was nice and sweet," assisting Sean in any way she could. I hated seeing her treated as she was.Cale w""",,,,,,,,,,,,,,
9,1,claudio_carvalho,8,Surprisingly Great Thriller,"In Portland, the amateurish photographer Sean Falco Robert Sheehan works with his best friend Derek Sandoval Kerry Condon as valet at a fancy restaurant. His girlfriend Riley Seabrook Jacqueline Byers studies in a university and he is estranged of his stepfather. Sean and Derek are also smalltime burglars, stealing the houses of the costumers while they are eating in the restaurant. One day, the obnoxious client Cale Erendreich David Tennant arrives at the restaurant driving a Maserati and Sean drives his car back to his house using the computer and Derek watches Cale in the restaurant. While snooping around the house, Sean finds a locked room and when he opens the door, he stumbles upon a woman tied to a chair with chains and gagged. He unsuccessfully tries to release her but he is forced to return to the restaurant with the Maserati. Sean decides to call the police, but Cale lures the police officers and turns SeanÂ´s life upside-down. Bad Samaritan"" is a surprisingly great thriller""",,,,,,,,,,,,,,,,,,,
10,1,Stars-and-popcorn,6,Bad Samaritan Plays it too Safe,"Bad Samaritan is a movie that Ive been looking forward to for a few months. Ever since David Tennant gave his incredible performance as Kilgrave on the Marvel Netflix series Jessica Jones. The idea of him playing a totally demented psychopath had me giddy with anticipation. However, when it comes to this film thats about where the fun ends. Even with David Tennant playing the big bad wolf, he stumbles too much to save Bad Samaritan from being, well, a bad movie.I really wanted to like Bad Samaritan, especially because Im a sucker for a good horror movie that can make your skin crawl. There are definitely some moments in the film that will make audiences jump and cringe. However, a lot of those scenes that make you cringe are the ones where David Tennants American accent starts to slip. Im not sure why they decided to make his character American, possibly to make Robert Sheehans Irish accent stand out more, but its definitely not one of Tennants strong suits. There are plenty of other t",,,,,,,,,,,,,,,,,,,
11,1,Platypuschow,7,Bad Samaritan Not half bad,"David Tennant stars as the movies antagonist in a clever little thriller that deserves more recognition than it appears to have recieved.It tells the story of two friends who through their valet job proceed to rob people while they are at the restaurant. But on this occasion one of them finds a little more than he expected as the home contains a chained up woman.Now Bad Samaritan immediatly suffers from a flaw that a lot of movies have have lately. Namely protagonists that I cant care for. Why am I supposed to root for criminals? These people are robbing folks, why am I supposed to care about them? Sadly this has been a big thing lately and really badly needs to stop.The story is great, David Tennant is excellent As always and it all plays out really well. But our lead being a thief just kept nagging at me and bothered me considerably more than it perhaps should.Putting that aside I can confidently say Bad Samaritan is a smart little film, well constructed and well performed so if the ",,,,,,,,,,,,,,,,,,,
12,1,pinemaples,8,An unexpected thrill.,"I didnt expect much of a movie with a name like Bad Samaritan, I didnt expect to find something to enjoy about it besides David Tennant playing the villain, and I certainly didnt expect to find a great movie. The only real complaint I have is that the bad guys backstory was dumb, and honestly would have been better off unexplained. I havent seen a movie this consistently intense since The Infiltrator came out two years ago. I was especially impressed with the continuity and attention to detail, and MY GOSH can David Tennant pull off a fantastic American accent.",,,,,,,,,,,,,,,,,,,
13,1,vhinzajhltb,9,Had to sign up to make a Rating and Review!,"This movie was unexpectedly amazed me. It just completes my day. Im watching like you cant get off the screen not to miss any scenes cuz you dont know what will happens next. This was been one of the best thriller movie I have seen realizing how good the camera and background sounds was all set up in accordingly. Also plus points for the casts they really gave justice to their own role. One thing Im lacking in this movie is how it ends that Ive just thought it will show the FBI finding out all the burried dead bodies at the backyard then it will be aired on the news and soon Seans gf and his family will finally understand what he had gone through in his situation, thats it.Thumbs up and hi5 for the director and producers of this movie. Hoping for more upcoming movie genre like this.",,,,,,,,,,,,,,,,,,,
